,experiment,hour,device_make,yes,day,platform_os_5.0,platform_os_6.0
2998,0,7,13,1,0,0,1
3005,1,2,13,1,0,0,1
3015,1,18,64,1,0,0,1
3018,1,22,68,0,3,0,1
3033,1,8,13,0,2,0,1
3036,0,7,64,1,0,0,1
3037,1,22,13,1,0,0,1
3056,1,3,46,0,3,0,1
3067,1,20,13,1,2,0,1
3076,1,7,13,0,6,0,1
3090,1,20,13,0,3,0,1
3097,1,6,2,0,2,0,1
3099,1,2,13,1,2,0,1
3111,1,23,13,0,1,0,1
3113,1,23,13,1,2,0,1
3119,1,9,13,0,2,0,1
3123,0,4,13,0,2,0,1
3131,1,4,41,0,0,0,1
3135,1,8,13,0,0,0,1
3138,1,6,13,0,5,0,1
3139,0,3,66,1,2,0,1
3140,1,4,13,1,4,0,1
3145,0,5,68,0,4,0,1
3149,0,22,13,1,5,0,1
3158,1,11,13,0,2,0,1
3161,0,7,13,0,0,0,1
3166,1,13,54,0,4,0,1
3190,0,6,51,0,6,0,1
3193,0,2,68,1,4,0,1
3197,1,3,13,0,4,0,1
3213,0,7,13,1,0,0,1
3216,1,22,13,1,0,0,1
3237,1,4,13,0,0,0,1
3240,0,17,114,1,2,1,0
3246,0,7,41,1,0,0,1
3250,0,6,68,0,6,0,1
3260,1,2,72,1,3,0,1
3262,0,7,13,0,0,0,1
3271,0,6,53,1,2,0,1
3274,1,0,13,0,3,0,1
3275,0,4,13,1,4,0,1
3280,1,2,13,0,0,0,1
3286,1,3,13,0,0,0,1
3289,0,7,13,1,0,0,1
3290,0,7,24,1,0,0,1
3305,0,7,13,0,0,0,1
3314,1,22,13,0,0,0,1
3330,0,19,13,0,1,0,1
3331,0,7,13,0,0,0,1
3332,1,18,43,0,4,0,1
3334,0,7,13,0,0,0,1
3337,1,23,86,1,3,0,1
3341,1,18,13,0,2,0,1
3369,1,10,13,1,6,0,1
3372,0,21,71,0,2,0,1
3374,0,18,13,0,0,0,1
3383,1,2,93,1,1,0,1
3390,0,7,23,0,0,0,1
3404,1,13,100,1,6,0,1
3412,1,7,13,0,0,0,1
3413,1,22,13,0,0,0,1
3426,0,22,68,1,2,0,1
3433,0,7,45,1,0,0,1
3437,0,7,72,1,2,0,1
3444,0,7,72,1,0,0,1
3445,0,7,13,0,0,0,1
3448,1,2,47,0,0,0,1
3449,1,18,13,1,1,0,1
3473,1,19,66,1,3,0,1
3478,1,3,26,1,2,0,1
3487,0,14,13,1,2,0,1
3490,1,23,92,0,0,0,1
3492,1,19,13,1,6,0,1
3496,0,7,13,1,0,0,1
3499,0,10,68,1,3,0,1
3516,0,3,13,1,2,0,1
3528,0,23,13,1,5,0,1
3532,0,10,74,0,6,0,1
3537,0,7,13,1,0,0,1
3543,0,18,13,1,0,0,1
3545,1,3,13,0,3,0,1
3546,0,10,71,1,4,0,1
3565,1,2,13,0,3,0,1
3571,0,20,13,0,2,0,1
3574,0,18,73,1,3,0,1
3577,0,7,64,1,0,0,1
3581,0,7,13,1,0,0,1
3588,1,22,13,0,6,0,1
3590,1,18,13,1,1,0,1
3594,0,7,13,0,0,0,1
3596,0,0,108,1,2,0,1
3621,0,19,27,0,2,0,1
3630,0,12,13,0,2,0,1
3639,0,7,13,0,0,0,1
3642,0,8,95,0,4,0,1
3644,0,7,13,0,0,0,1
3645,0,20,76,1,1,0,1
3661,1,3,13,0,0,0,1
3665,0,13,13,0,6,0,1
3666,1,20,5,1,2,0,1
3684,0,13,5,0,6,0,1
3697,0,9,6,1,0,0,1
3700,0,19,13,0,5,0,1
3703,0,5,73,0,6,0,1
3712,0,7,64,0,0,0,1
3714,1,21,13,0,1,0,1
3722,1,18,13,1,0,0,1
3730,1,5,13,1,0,0,1
3734,1,7,13,0,2,0,1
3742,1,9,49,1,4,0,1
3747,0,7,13,1,0,0,1
3752,1,7,13,0,2,0,1
3761,1,21,13,1,4,0,1
3763,0,7,66,0,0,0,1
3770,0,6,23,1,3,0,1
3776,1,22,13,0,1,0,1
3777,1,21,13,0,1,0,1
3796,0,15,13,1,4,0,1
3805,0,13,81,0,2,0,1
3808,1,22,13,0,2,0,1
3816,0,8,13,0,0,0,1
3818,0,22,43,1,1,0,1
3825,0,7,13,1,0,0,1
3833,0,4,27,0,2,0,1
3843,1,17,114,1,3,1,0
3845,0,22,72,1,0,0,1
3848,1,7,66,0,0,0,1
3850,0,2,13,1,1,0,1
3852,1,17,26,1,2,0,1
3854,1,12,13,0,0,0,1
3862,0,12,13,0,4,0,1
3877,1,15,13,1,5,0,1
3880,1,21,13,1,0,0,1
3885,1,21,73,1,3,0,1
3886,1,11,13,0,6,0,1
3888,1,11,42,0,4,0,1
3898,1,14,66,0,6,0,1
3900,1,0,13,1,0,0,1
3903,1,9,13,1,4,0,1
3917,0,7,87,0,0,0,1
3920,1,17,73,1,0,0,1
3946,1,14,73,0,4,0,1
3957,0,1,23,0,1,0,1
3961,1,5,56,1,0,0,1
3962,0,19,13,1,2,0,1
3982,0,5,13,0,5,0,1
3986,1,21,13,0,3,0,1
3991,1,5,66,0,3,0,1
3995,0,19,2,0,3,0,1
3996,1,4,13,1,6,0,1
4005,0,9,13,1,4,0,1
4011,1,22,66,0,1,0,1
4012,0,23,13,0,2,0,1
4015,0,10,13,0,6,0,1
4016,0,9,13,1,6,0,1
4028,1,5,44,0,0,0,1
4031,1,6,68,0,5,0,1
4039,1,10,13,0,4,0,1
4048,1,19,48,0,1,0,1
4061,0,14,13,0,3,0,1
4068,0,7,13,1,6,0,1
4069,0,7,13,0,0,0,1
4070,1,23,13,1,5,0,1
4071,1,23,13,0,0,0,1
4081,0,0,13,0,5,0,1
4102,1,3,33,0,4,0,1
4104,1,15,75,0,6,0,1
4109,0,7,42,1,0,0,1
4112,0,7,50,0,0,0,1
