,experiment,hour,device_make,yes,day,browser_Chrome,browser_Chrome Mobile,browser_Chrome Mobile WebView,browser_Chrome Mobile iOS,browser_Facebook,browser_Mobile Safari,browser_Mobile Safari UI/WKWebView,browser_Samsung Internet
2123,1,10,68,1,4,0,0,1,0,0,0,0,0
2125,1,2,13,1,2,0,1,0,0,0,0,0,0
2126,1,13,85,0,6,0,0,0,0,0,0,0,1
2134,1,2,13,0,3,0,1,0,0,0,0,0,0
2139,0,22,110,0,2,0,0,0,0,1,0,0,0
2145,1,10,13,0,6,0,1,0,0,0,0,0,0
2172,1,23,13,0,0,0,0,1,0,0,0,0,0
2183,1,23,13,0,1,0,1,0,0,0,0,0,0
2184,1,17,13,0,0,0,0,1,0,0,0,0,0
2187,0,4,1,1,0,0,0,0,0,1,0,0,0
2197,0,22,67,1,5,0,0,1,0,0,0,0,0
2233,1,7,39,0,6,0,0,0,0,1,0,0,0
2236,0,11,97,0,4,0,0,0,0,1,0,0,0
2238,0,20,72,1,0,0,0,1,0,0,0,0,0
2239,1,12,13,0,2,0,0,1,0,0,0,0,0
2253,1,21,68,0,1,0,0,0,0,0,0,0,1
2256,0,2,13,1,5,0,1,0,0,0,0,0,0
2263,1,8,65,0,2,0,0,0,0,0,0,0,1
2270,0,14,21,1,6,0,1,0,0,0,0,0,0
2277,0,7,13,0,0,0,1,0,0,0,0,0,0
2286,0,4,42,0,4,0,1,0,0,0,0,0,0
2287,1,4,13,0,3,0,1,0,0,0,0,0,0
2306,0,12,13,1,0,0,1,0,0,0,0,0,0
2333,0,7,13,0,0,0,1,0,0,0,0,0,0
2346,1,2,87,1,0,0,0,0,0,0,0,0,1
2347,0,7,13,0,0,0,1,0,0,0,0,0,0
2357,0,7,13,1,0,0,1,0,0,0,0,0,0
2361,0,7,13,0,0,0,1,0,0,0,0,0,0
2363,0,12,13,0,6,0,1,0,0,0,0,0,0
2364,1,12,13,0,5,0,1,0,0,0,0,0,0
2367,1,22,13,0,4,0,0,1,0,0,0,0,0
2383,1,9,75,0,5,0,0,0,0,0,0,0,1
2386,0,7,1,1,0,0,0,0,0,1,0,0,0
2387,1,22,13,0,2,0,1,0,0,0,0,0,0
2400,1,8,13,0,6,0,0,1,0,0,0,0,0
2409,0,18,13,1,0,0,1,0,0,0,0,0,0
2416,0,18,26,0,4,0,1,0,0,0,0,0,0
2417,1,2,65,0,4,0,0,0,0,1,0,0,0
2421,0,7,78,1,0,0,0,0,0,1,0,0,0
2427,1,21,21,0,3,0,0,1,0,0,0,0,0
2428,0,14,47,1,6,0,0,0,0,1,0,0,0
2440,0,7,47,1,0,0,0,0,0,0,0,0,1
2453,1,7,13,0,4,0,1,0,0,0,0,0,0
2456,1,2,73,0,0,0,0,1,0,0,0,0,0
2457,0,7,13,1,0,0,1,0,0,0,0,0,0
2465,1,0,13,1,3,0,1,0,0,0,0,0,0
2476,0,0,13,0,4,0,1,0,0,0,0,0,0
2477,1,0,13,0,4,0,1,0,0,0,0,0,0
2481,1,3,13,0,0,0,1,0,0,0,0,0,0
2485,1,8,13,1,6,0,1,0,0,0,0,0,0
2487,0,19,43,0,0,0,0,0,0,0,0,0,1
2488,1,18,13,0,2,0,0,1,0,0,0,0,0
2490,1,22,13,0,3,0,1,0,0,0,0,0,0
2502,0,7,51,0,0,0,0,0,0,1,0,0,0
2521,1,7,13,0,6,0,1,0,0,0,0,0,0
2526,1,17,13,0,0,0,1,0,0,0,0,0,0
2531,1,4,18,1,3,1,0,0,0,0,0,0,0
2537,0,22,54,1,0,0,0,0,0,0,0,0,1
2547,0,1,41,0,3,0,0,0,0,0,0,0,1
2556,0,7,13,0,0,0,1,0,0,0,0,0,0
2558,1,21,13,1,0,0,1,0,0,0,0,0,0
2563,1,22,24,0,4,0,0,1,0,0,0,0,0
2564,0,21,79,0,4,0,0,0,0,1,0,0,0
2573,1,10,70,0,6,0,0,0,0,1,0,0,0
2574,1,22,13,0,0,0,1,0,0,0,0,0,0
2585,1,20,54,1,0,0,0,0,0,0,0,0,1
2589,0,15,13,1,6,0,1,0,0,0,0,0,0
2592,0,9,13,1,5,0,1,0,0,0,0,0,0
2598,1,1,13,1,0,0,1,0,0,0,0,0,0
2600,1,17,13,0,2,0,1,0,0,0,0,0,0
2602,0,7,68,0,0,0,0,0,0,1,0,0,0
2606,1,6,27,0,4,0,0,1,0,0,0,0,0
2610,1,3,13,0,4,0,1,0,0,0,0,0,0
2614,1,9,13,1,6,0,1,0,0,0,0,0,0
2620,1,2,61,0,2,0,0,1,0,0,0,0,0
2625,0,8,46,1,0,0,0,0,0,0,0,0,1
2630,0,7,114,0,0,0,0,0,0,0,1,0,0
2631,0,7,114,0,0,0,0,0,0,0,0,1,0
2637,1,17,13,0,1,0,1,0,0,0,0,0,0
2647,0,22,72,1,6,0,0,0,0,1,0,0,0
2656,0,11,13,0,2,0,1,0,0,0,0,0,0
2660,0,7,13,0,0,0,1,0,0,0,0,0,0
2665,1,8,13,0,4,0,1,0,0,0,0,0,0
2674,1,11,68,1,5,0,0,0,0,0,0,0,1
2675,1,21,13,0,0,0,1,0,0,0,0,0,0
2681,1,8,75,1,4,0,0,1,0,0,0,0,0
2711,1,8,13,0,4,0,1,0,0,0,0,0,0
2720,0,7,13,0,0,0,1,0,0,0,0,0,0
2722,0,7,13,1,0,0,1,0,0,0,0,0,0
2731,1,23,27,1,3,0,0,1,0,0,0,0,0
2732,1,0,25,0,5,0,0,1,0,0,0,0,0
2734,1,20,13,1,1,0,1,0,0,0,0,0,0
2735,0,7,13,0,0,0,1,0,0,0,0,0,0
2744,1,2,13,1,1,0,1,0,0,0,0,0,0
2745,1,20,13,1,1,0,1,0,0,0,0,0,0
2766,1,19,13,1,0,0,0,1,0,0,0,0,0
2771,0,7,13,0,0,0,1,0,0,0,0,0,0
2778,0,7,13,0,0,0,1,0,0,0,0,0,0
2779,0,7,71,1,0,0,0,0,0,0,0,0,1
2789,1,5,13,1,3,0,1,0,0,0,0,0,0
2791,0,17,13,0,5,0,1,0,0,0,0,0,0
2799,0,5,13,0,2,0,1,0,0,0,0,0,0
2813,1,23,13,0,0,0,1,0,0,0,0,0,0
2819,0,0,105,0,1,0,0,1,0,0,0,0,0
2822,1,3,13,1,3,0,1,0,0,0,0,0,0
2826,1,4,13,0,4,0,1,0,0,0,0,0,0
2827,0,6,13,0,6,0,1,0,0,0,0,0,0
2831,1,16,13,1,2,0,1,0,0,0,0,0,0
2847,0,1,13,1,4,0,1,0,0,0,0,0,0
2854,0,7,46,1,0,0,0,0,0,0,0,0,1
2856,0,7,13,1,0,0,1,0,0,0,0,0,0
2863,1,6,13,0,0,0,1,0,0,0,0,0,0
2874,0,2,72,0,4,0,0,0,0,1,0,0,0
2880,1,22,68,0,3,0,0,0,0,0,0,0,1
2895,1,10,13,0,5,0,1,0,0,0,0,0,0
2904,1,6,13,1,6,0,1,0,0,0,0,0,0
2910,0,7,13,0,0,0,1,0,0,0,0,0,0
2915,0,3,13,1,3,0,1,0,0,0,0,0,0
2918,0,7,13,1,0,0,1,0,0,0,0,0,0
2921,1,21,13,1,4,0,1,0,0,0,0,0,0
2925,1,14,21,1,6,0,1,0,0,0,0,0,0
2928,1,7,42,0,3,0,0,0,0,0,0,0,1
2931,1,9,13,0,4,0,1,0,0,0,0,0,0
2938,0,6,13,0,0,0,1,0,0,0,0,0,0
2945,1,21,94,0,6,0,0,1,0,0,0,0,0
2947,1,7,13,1,6,0,1,0,0,0,0,0,0
2948,0,11,13,0,6,0,1,0,0,0,0,0,0
2951,0,7,13,1,0,0,1,0,0,0,0,0,0
2952,1,7,13,0,6,0,1,0,0,0,0,0,0
2958,1,23,13,1,5,0,1,0,0,0,0,0,0
2961,1,15,13,1,5,0,1,0,0,0,0,0,0
2973,1,17,72,0,5,0,0,0,0,0,0,0,1
2976,0,7,72,1,0,0,0,0,0,1,0,0,0
2978,0,23,13,0,4,0,1,0,0,0,0,0,0
2981,0,8,47,1,6,0,0,0,0,0,0,0,1
2984,0,17,13,0,2,0,1,0,0,0,0,0,0
2988,1,10,13,0,6,0,1,0,0,0,0,0,0
2989,1,3,13,0,0,0,1,0,0,0,0,0,0
2994,1,15,68,0,6,0,0,0,0,1,0,0,0
2998,0,7,13,1,0,0,1,0,0,0,0,0,0
3005,1,2,13,1,0,0,1,0,0,0,0,0,0
3015,1,18,64,1,0,0,0,1,0,0,0,0,0
3018,1,22,68,0,3,0,1,0,0,0,0,0,0
3033,1,8,13,0,2,0,1,0,0,0,0,0,0
3036,0,7,64,1,0,0,0,0,0,0,0,0,1
3037,1,22,13,1,0,0,1,0,0,0,0,0,0
3056,1,3,46,0,3,0,0,0,0,0,0,0,1
3067,1,20,13,1,2,0,1,0,0,0,0,0,0
3076,1,7,13,0,6,0,1,0,0,0,0,0,0
3090,1,20,13,0,3,0,1,0,0,0,0,0,0
3097,1,6,2,0,2,0,0,0,0,1,0,0,0
3099,1,2,13,1,2,0,1,0,0,0,0,0,0
3111,1,23,13,0,1,0,1,0,0,0,0,0,0
3113,1,23,13,1,2,0,1,0,0,0,0,0,0
3119,1,9,13,0,2,0,1,0,0,0,0,0,0
3123,0,4,13,0,2,0,0,1,0,0,0,0,0
3131,1,4,41,0,0,0,0,0,0,0,0,0,1
3135,1,8,13,0,0,0,1,0,0,0,0,0,0
3138,1,6,13,0,5,0,0,1,0,0,0,0,0
3139,0,3,66,1,2,0,0,0,0,0,0,0,1
3140,1,4,13,1,4,0,1,0,0,0,0,0,0
3145,0,5,68,0,4,0,0,0,0,1,0,0,0
3149,0,22,13,1,5,0,1,0,0,0,0,0,0
3158,1,11,13,0,2,0,1,0,0,0,0,0,0
3161,0,7,13,0,0,0,1,0,0,0,0,0,0
3166,1,13,54,0,4,0,0,0,0,1,0,0,0
3190,0,6,51,0,6,0,0,0,0,1,0,0,0
3193,0,2,68,1,4,0,0,0,0,1,0,0,0
3197,1,3,13,0,4,0,1,0,0,0,0,0,0
3213,0,7,13,1,0,0,1,0,0,0,0,0,0
3216,1,22,13,1,0,0,1,0,0,0,0,0,0
3237,1,4,13,0,0,0,1,0,0,0,0,0,0
3240,0,17,114,1,2,0,0,0,0,0,1,0,0
3246,0,7,41,1,0,0,0,0,0,0,0,0,1
3250,0,6,68,0,6,0,0,0,0,0,0,0,1
3260,1,2,72,1,3,0,0,1,0,0,0,0,0
